index,address,token_1,token_0
0,0xb805414F21A0B833552644fEb8226a7237Ef29F1,AAVE,WETH
1,0xBF6CBb1F40a542aF50839CaD01b0dc1747F11e18,ARB,WETH
2,0x9b47d615Fa61f38D5e26e34ee477DcD375027C51,BADGER,WETH
3,0xe11fD71B13072CF388419e2623C5487103e08627,WETH,BAL
4,0xdB48819484F1259164ABE12777d5f6f170f4B42f,WETH,CELR
5,0x7bEFb3dC57c28CA8Ac4368309a510ccd24965245,WETH,COMP
6,0xbe3B9c3700171183b2B3F827D8833212d0197a96,WETH,CRV
7,0x692a0B300366D1042679397e40f3d2cb4b8F7D30,DAI,WETH
8,0x05C6F695Ad50C16299BEdCa3Fe9059B56550082f,GMX,WETH
9,0x9bbD115B9be1C7B1532860Db694694C4C28b07DD,GRT,WETH
10,0x7050A8908E2a60899D8788015148241f0993a3FD,LINK,WETH
11,0x6119D6606Bab406Cd1244B8216505451DB0789c1,WETH,LPT
12,0x6267E07Ec4A6C0396CE0bFF976607f4F3686f8f5,WETH,LRC
13,0x4A10c194B9F86a75A58b50839a6E3b4A64f1E6C2,LUSD,WETH
14,0x2cDdbec717968a1FaB0429f53fC2ABCc2A92487e,MIM,WETH
15,0x22269c52f4678AB4792a5A82D71460cea3c9DB1B,WETH,MKR
16,0xE954b17258fA44724b34466D411a09e003E90390,POND,WETH
17,0x8f93Eaae544e8f5EB077A1e09C1554067d9e2CA8,WETH,SPELL
18,0x3221022e37029923aCe4235D812273C5A42C322d,SUSHI,WETH
19,0xf4a6c89E06318717657D352D16cFC7739D9a8B85,UNI,WETH
20,0x57b85FEf094e10b5eeCDF350Af688299E9553378,USDC,WETH
21,0x905dfCD5649217c42684f23958568e533C711Aa3,USDC.E,WETH
22,0xCB0E5bFa72bBb4d16AB5aA0c60601c438F04b4ad,USDT,WETH
23,0x515e252b2b5c22b4b2b6Df66c2eBeeA871AA4d69,WETH,WBTC
24,0x2027858771B801Ab0551fc00f5D6F867411c14E4,WOO,WETH
25,0x3BFB1ac033ff0aE278Be0583FCCc900FBD9382c6,WETH,RDNT
26,0xB7E50106A5bd3Cf21AF210A755F9C8740890A8c9,WETH,MAGIC
27,0x112c6160f996427E52c8ebd4129963A08b73f48A,WETH,PENDLE
28,0x102A193984AAd2AdC7f69ff46ea163Dd618cE5Df,AGEUR,WETH
29,0xc217c5BB847E1F3548f969758E5d9905B5EEFfaa,WETH,GNS
30,0x3bF06E16453BE897C5D950B172c84732F55bc747,HMX,WETH
31,0x1371f047707B12f02480bfaf2C5b6eb2913714ea,WETH,MCB
32,0x42e9Dc3F1a7dD582E81d2edF7e5C4869007ce14A,WETH,PREMIA
33,0x9f1229C3e433239ed7Bf12C68E939c109eb0f72f,WETH,CYBER
34,0xB5CcA00E6509990Fb0B2Ae8d21D71b9CbBE08c04,WETH,DODO
35,0x48E8647Cb0EE8FCfA3937C1EbaF95c3c831D247c,WETH,GRAIL
36,0xcDA9B8e5867b5746755fE6E505B6300a76b2fAc3,BIFI,WETH
37,0x0E44D4FF5E1b620fA7Ec6C0c633aB950a391412f,WETH,HEGIC
38,0xD54b1bF95851137974A232690DC69393fAD0f4a5,WETH,SPA
39,0xfB9972801C33bB483853a5Cb2365C16940a063Ad,AAVE,WBTC
40,0x3Eaa1e8cc8D49Ab79db1c2A359CCCE14741bc43C,ARB,CELR
41,0x3abc85DFF360cF56ad5348227a898bCABA0EE2Cb,DAI,ARB
42,0xd7392D75a40563Da47E1Df529f8Aea2d961C2D55,GMX,ARB
43,0xe692396cE553Fb1531554aDe44988E8c568A5cB4,LINK,ARB
44,0xf0DF8e7C97722Ee4A3e01605aDac534649D38428,ARB,MKR
45,0x20aaC4bf300cb2b94fb2de8c59473Ddb0Cfa258B,ARB,SPELL
46,0x6B0B15f8008552331C01FB43b3e0c1070704f056,SUSHI,ARB
47,0xDa24De4A79f9e18578c488E923455f730b8c5B16,UNI,ARB
48,0x1F42712540f04478EA8fbb5a27D850a1cB1884f6,USDC,ARB
49,0x338b50B05F1300439a3ce80E6fbAA613051B3349,USDC.E,ARB
50,0x67BF6fb81996F1968005bE5E40b5A60324930A9F,USDT,ARB
51,0x91F0f14370C83bc108Cc03Cf35Cd0b9CCea4b1a5,ARB,WBTC
52,0xB4A9190644Eb2241147573bFCCE1b934A21Cb0ba,ARB,MAGIC
53,0x30F22914460F2020A19aE3c2BA94af96c2704DfF,ARB,DODO
54,0x7597B96c20029BBD639D6757f1728732C23793DE,ARB,SPA
55,0x4b2CcE676c8c7E8DeA46be75eDF1ab7a30A42831,USDC.E,BADGER
56,0xE16cfB374902733155F6E86471D902830612B1Ed,BADGER,WBTC
57,0x256641D5de7b7e1a4EFeCfDf3131601E35E52fBB,CRV,BAL
58,0xb86c6eFE8Be69855e2Ab6859b3A73FC342dB97Df,DAI,BAL
59,0x156824b70c7C912Cd6544a4b3d2c296c2a152c80,SPELL,BAL
60,0x21DccabE101a7b86Ec8849b1778181Fa20B7F6a0,SUSHI,BAL
61,0x9e6827A406B9c87f5abA2521Ab14d1925FA7B1A1,USDC.E,BAL
62,0xFDb952EfAFbc2f8886ddBA9EA6155f1879c7dE48,USDT,BAL
63,0x3C5d31Ebce55d67bBDBbF036A885663635a8cfB2,MAGIC,BAL
64,0x672869bF83E34c987c0f67ba3325f1d0ac87D880,DAI,CELR
65,0x3209e06566A59060be1fe8c7EF5f912722Bc93dd,USDC.E,COMP
66,0x55FFeCD8D5B6eD230515C79Ab8f838AF5d9b8880,USDT,COMP
67,0xa46464e7F3C81AB7FF0CAbA33b767D2613Dbb8F5,DAI,CRV
68,0xBb690Dd704b1e30C66AEA5e0fAEBf7A0134FE98B,USDC.E,CRV
69,0xE90B294BEb0F0572Ed29c18E6a5074f65F31De6b,USDT,CRV
70,0xd352dcBD57533aAd6fa1681025a0538C71BB3151,WBTC,CRV
71,0x1960a9Af62Fddd93e462625a318dC6949c1cC856,LINK,DAI
72,0x5aBc21F2f2A86957F83976a4B5D7a9A0D2c3DA5b,DAI,SPELL
73,0x486E6dd542E8f8763BE5F301ffEd25015FCa3b01,DAI,SUSHI
74,0xf1C2b2d21105d8e5e4B87865793f3aB9e6930977,UNI,DAI
75,0x5602aba2111aa4Ae90Ad34a5B5B815f26D69C94b,USDC.E,DAI
76,0xfbcBBBB551A5FC5Ad7796ab6BBfF01Fb0DD2E180,USDT,DAI
77,0x5933402eF279a609a4287E4e88a4cf0D31a413AD,DAI,WBTC
78,0x3c9cb8aA61f45bcd9a54FEDa5A25057d58f1A329,DAI,MAGIC
79,0x75A7cbA1685E01955A6Df276c4De0f714Ed027e3,DAI,DODO
80,0x893559289f885907B27dFa7bA3FCCE915F91339C,DAI,SPA
81,0xF557efADE3731D7fa10B37edBAdb022F7943fC72,GMX,SUSHI
82,0xB2FA688396F35c93Ba4f054866eF8527902fec07,USDC.E,GMX
83,0x1BE628aEAFd210290c261c2b979624B17eBF8750,USDT,GMX
84,0x4bDd9CA02aa538997793F2Bc1E92F1A8Eb4abf73,LINK,SUSHI
85,0x731554bf0DF41475c323298eBbB49358DA76f311,UNI,LINK
86,0x6F6BA3571A607E62F4B7F722E019925269E90f5A,USDC.E,LINK
87,0xEc1E2B352f29adc8f0854dEe2dC557d2763DbfBe,USDT,LINK
88,0x5926bAcD2b4e6aC2dfdb647c78eA12A5a3124f86,LINK,WBTC
89,0x032d144E4179437801F751bD57E278fA0a5d75f9,LINK,MAGIC
90,0x2420d60DFB1e5d9cB665B29F6bB91b2Bb9F85c36,LINK,PREMIA
91,0x9f768a1AfA69dca42FCD6a5745b3eC027889De0C,LINK,SPA
92,0x3C640C2A889ABE9a73a056e8a62aBd3A78981513,USDT,LPT
93,0xDD1eeCFd62Cabedf6EdD997f9e811F2D9AeDE1C3,MAGIC,LPT
94,0x7A1c260B2B98262B8014D3a676357Ca02e107fc9,SUSHI,SPELL
95,0x17FF694698A72Fc5Fba10f34EF5E16cfE7972657,USDC.E,SPELL
96,0x28F0f6BBE111aA0A190966c995E6DFAfdD46e715,USDT,SPELL
97,0x22559006627ECD43F0bF404F7ac67c57ad0C70d6,MAGIC,SPELL
98,0xC377EC23c7230fdb798d08bd2B5DA825e919963B,DODO,SPELL
99,0x67DAcb32C6F8281a9BE837806b6F5512AC4d84e9,SPA,SPELL
100,0x7b0da62768BCA02945164418d98610A8223DdF8d,UNI,SUSHI
101,0x5B9400dE4505c691D0F3969519Af0a984187CD9B,SUSHI,USDC
102,0xC1e4E50D5f7500d5915296CFF37dB53D4f9EB67e,USDC.E,SUSHI
103,0xBdd6c6A2C34B27A17Eb4b884afb72277451DaE6E,USDT,SUSHI
104,0x34cECAcb49EE78CC815094ff2fDF5695B8350af6,SUSHI,MAGIC
105,0x0beA896A49171f5cCd3A3d4a8BEABEf9BFadA683,USDC.E,UNI
106,0xa0EB018637F5d17daA3c624025b8872e96e97002,USDT,UNI
107,0x554f3841a339C3C051e734311Ee7d8b0cdBfcE77,UNI,MAGIC
108,0xdd32B0681c451eC870ae2B8ef85A423b3289482E,UNI,SPA
109,0xc221597Efd286d3C9f234e47E9c2668bC2097834,USDC.E,USDC
110,0x8CebFB915F7aa8474ABcF0fff11d869a256EB887,USDT,USDC
111,0x8165c70b01b7807351EF0c5ffD3EF010cAbC16fB,USDC.E,USDT
112,0xFf13348778cc2cEd614F6F73A8e488AC11292f25,USDC.E,WBTC
113,0xa9556426bdf92d02C613f2FD2e09943Fe6760395,USDC.E,WOO
114,0xb93E98Cd17b5129E25013955443CAEC0cDc915ba,USDC.E,YFI
115,0x036FE2396119085edfa025Ccd9562FD7d742056f,USDC.E,MAGIC
116,0xb9Cf3000A50E824b022756DdecDcD62139057ec5,USDC.E,MCB
117,0x2E33da6d7D28A24492d39ED1dBc9e693B6189Ec2,USDC.E,CYBER
118,0x853B0baE30c25F4D0f849Bb0B3659881e98FDca0,USDC.E,DODO
119,0x0f8b984D6Db8f7d1325b56e6D14A20ba7D3f61Ba,USDC.E,DF
120,0xA232DD6bEd183722CdEEd2C2c9Ff03C5b19D0b9B,USDC.E,SPA
121,0xbdEE369abf5C3dfFF5DC65841e939747BA706a5d,USDT,WBTC
122,0x844149038228De75F44d157044eB1da958C8e1E5,USDT,MAGIC
123,0x1Ac2995E9e515013CE6420f789b4cB60Cf06ef9E,USDT,DODO
124,0x0C4De24BfBc86D1b6EF742F6022b84262A32d5C8,USDT,LON
125,0x8325536B089dDBA18bB7266617c16768aC609e43,USDT,SPA
126,0xcCd5a69669AcCA428C688c1b986238B36f175f28,MAGIC,WBTC
127,0x3aDf97dD981500bCe86d3c0287B2008dB1221E86,DODO,MAGIC
128,0xecbEb495D9B985CC60dDDF1Ad2EB860E859A051A,SPA,MAGIC
129,0x8e48eFb951a6a77340D3ce9Ba39c622a358AbB54,AGEUR,DODO
