index,address,token_0,token_1,fee
0,0x59354356Ec5d56306791873f567d61EBf11dfbD5,ARB,WETH,30
1,0x755E5A186F0469583bd2e80d1216E02aB88Ec6ca,ARB,WETH,100
2,0x881B8d0B1aD9d1b1DB918342B064D10aFb9eaa69,BNB,WETH,30
3,0x9E7809C21BA130c1A51C112928eA6474D9a9Ae3C,BNB,WETH,100
4,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19,DAI,WETH,1
5,0x60594a405d53811d3BC4766596EFD80fd545A270,DAI,WETH,5
6,0xC2e9F25Be6257c210d7Adf0D4Cd6E3E881ba25f8,DAI,WETH,30
7,0xa80964C5bBd1A0E95777094420555fead1A26c1e,DAI,WETH,100
8,0x468358dBbE8D10512F216e215A01d00D5eb844EB,WETH,ENS,5
9,0x92560C178cE069CC014138eD3C2F5221Ba71f58a,WETH,ENS,30
10,0xb9C4a5522a2f8bA9E2fF7063Df8C02ed443337A3,WETH,ENS,100
11,0x0e2c4bE9F3408E5b1FF631576D946Eb8C224b5ED,WETH,GRT,30
12,0x46add4B3F80672989b9A1eAF62caD5206F5E2164,WETH,GRT,100
13,0x81fbBc40Cf075FD7De6AfCe1bc72EDA1BB0e13aa,WETH,IMX,30
14,0xFd76bE67FFF3BAC84E3D5444167bbC018f5968b6,WETH,IMX,100
15,0x5d4F3C6fA16908609BAC31Ff148Bd002AA6b8c83,LINK,WETH,5
16,0xa6Cc3C2531FdaA6Ae1A3CA84c2855806728693e8,LINK,WETH,30
17,0x3A0f221eA8B150f3D3d27DE8928851aB5264bB65,LINK,WETH,100
18,0xe3baA96aD46457d9e6cDD4e32ABC11e2C124eC49,MATIC,WETH,5
19,0x290A6a7460B308ee3F19023D2D00dE604bcf5B42,MATIC,WETH,30
20,0x99C7550be72F05ec31c446cD536F8a29C89fdB77,MATIC,WETH,100
21,0x886072A44BDd944495eFF38AcE8cE75C1EacDAF6,MKR,WETH,5
22,0xe8c6c9227491C0a8156A0106A0204d881BB7E531,MKR,WETH,30
23,0x3aFdC5e6DfC0B0a507A8e023c9Dce2CAfC310316,MKR,WETH,100
24,0xa786568aa87fFB8AAFD1E532B66909eeb8D79399,PEPE,WETH,1
25,0x6e5c0B204D8c5311687513f0E71c10cB9e114B6b,PEPE,WETH,5
26,0x11950d141EcB863F01007AdD7D1A342041227b58,PEPE,WETH,30
27,0xF239009A101B6B930A527DEaaB6961b6E7deC8a6,PEPE,WETH,100
28,0xd5A179E8A237EB18aABE5eCCF8CBFEc3196A65C0,QNT,WETH,5
29,0x24EE2c6B9597F035088CDa8575E9D5e15a84B9DF,QNT,WETH,30
30,0xe310D7acDB331AF81904E747D6ec005de0Ac1162,QNT,WETH,100
31,0x4628a0A564DEBFc8798eb55DB5c91f2200486c24,RNDR,WETH,30
32,0xE936f0073549AD8b1fA53583600d629Ba9375161,RNDR,WETH,100
33,0xb3fe3BAD93B4F2e35FEa390F6D607B35550BAF97,SAND,WETH,5
34,0x5859ebE6Fd3BBC6bD646b73a5DbB09a5D7B6e7B7,SAND,WETH,30
35,0x5b97B125CF8aF96834F2D08c8f1291BD47724939,SAND,WETH,100
36,0x94E4b2E24523CF9B3e631A6943C346dF9687c723,SHIB,WETH,5
37,0x2F62f2B4c5fcd7570a709DeC05D68EA19c82A9ec,SHIB,WETH,30
38,0x5764a6F2212D502bC5970f9f129fFcd61e5D7563,SHIB,WETH,100
39,0xfaA318479b7755b2dBfDD34dC306cb28B420Ad12,UNI,WETH,5
40,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,UNI,WETH,30
41,0x360b9726186C0F62cc719450685ce70280774Dc8,UNI,WETH,100
42,0xE0554a476A092703abdB3Ef35c80e0D76d32939F,USDC,WETH,1
43,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,USDC,WETH,5
44,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,USDC,WETH,30
45,0x7BeA39867e4169DBe237d55C8242a8f2fcDcc387,USDC,WETH,100
46,0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b,WETH,USDT,1
47,0x11b815efB8f581194ae79006d24E0d814B7697F6,WETH,USDT,5
48,0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,WETH,USDT,30
49,0xC5aF84701f98Fa483eCe78aF83F11b6C38ACA71D,WETH,USDT,100
50,0xe6ff8b9A37B0fab776134636D9981Aa778c4e718,WBTC,WETH,1
51,0x4585FE77225b41b697C938B018E2Ac67Ac5a20c0,WBTC,WETH,5
52,0xCBCdF9626bC03E24f779434178A73a0B4bad62eD,WBTC,WETH,30
53,0x6Ab3bba2F41e7eAA262fa5A1A9b3932fA161526F,WBTC,WETH,100
54,0xdE4cdF3C5C93A08b9da0743f34d549c3C3Ce18b3,USDD,WETH,30
55,0x99396f87128B1cDFd81cd184500b34E407a73A09,DAI,ARB,100
56,0xEbD785B899b3DdCDE792D04e3d849d10d5Db7555,USDC,ARB,30
57,0x42eAC65B1cAa73e9D06584708ef2c0642b9AC559,USDC,ARB,100
58,0x54Bd913F4ea7359A2eedC8f5995e3E528A3D58D2,ARB,USDT,100
59,0xD358e854F10363f37Fd4de0134971869B72f096C,DAI,ENS,30
60,0x3209C64BF470FAFEcB8b87Db3D8ac1bAa3eCF629,LINK,DAI,5
61,0x091C0158ab410bd73ca1541409D5A22E90146a04,LINK,DAI,30
62,0x07510b2DD84bF8187063a3c49533663518C2B6b7,DAI,MATIC,30
63,0x98c8BE139D73aC27bd96A0be97F0Abf17EfcaD45,DAI,MATIC,100
64,0x2A84E2BD2E961b1557D6e516cA647268b432cbA4,DAI,MKR,30
65,0xDFdD6dcC53Ae970D3A1A19C43197084cdca97DfF,DAI,MKR,100
66,0x27b627c5cDFc2f661022F9094D5f438e369ef8c7,PEPE,DAI,5
67,0x07E43b28640e30a60bFfcC885f2D7ae5fb6251c2,QNT,DAI,100
68,0x5b792308d5d167EFFa254CD1A0893B177643c6A5,SAND,DAI,100
69,0x57D7d040438730d4029794799dEEd8601E23fF80,UNI,DAI,5
70,0x7cf70eD6213F08b70316bD80F7c2ddDc94E41aC5,UNI,DAI,30
71,0xD6993E525FAdB23971a20bBb057Af9841eAE076F,UNI,DAI,100
72,0x5777d92f208679DB4b9778590Fa3CAB3aC9e2168,DAI,USDC,1
73,0x6c6Bc977E13Df9b0de53b251522280BB72383700,DAI,USDC,5
74,0xa63b490aA077f541c9d64bFc1Cc0db2a752157b5,DAI,USDC,30
75,0x6958686b6348c3D6d5f2dCA3106A5C09C156873a,DAI,USDC,100
76,0x48DA0965ab2d2cbf1C17C09cFB5Cbe67Ad5B1406,DAI,USDT,1
77,0x6f48ECa74B38d2936B02ab603FF4e36A6C0E3A77,DAI,USDT,5
78,0x4773E2C1c0B400a16DfeC4ca6E305141859a5542,DAI,USDT,30
79,0xA93eb5b410b651514A18724872306F5ce9928Dde,WBTC,DAI,5
80,0x391E8501b626C623d39474AfcA6f9e46c2686649,WBTC,DAI,30
81,0x649Caaf37F36E67D1129C0FD6C6539d390Ca2B82,WBTC,DAI,100
82,0xA51c0472e48629A4545047ebddDC9EF13fbBCaAE,LINK,ENS,30
83,0xC28cD1D6883Ff029BF5fC80d63714037C0D0Bedf,MKR,ENS,100
84,0x4f50e37F3225ab8ce94806befb7EE7Ea09576388,UNI,ENS,30
85,0x8Cbeaea71BF7C0F646f6884f82Ee31cFFa1739C4,UNI,ENS,100
86,0x619154DBD96b4c1A8112651DB9A451E475daf77F,USDC,ENS,30
87,0x5F7E8408e573e934B0df49Ba5b569c30f1eBBaD4,USDC,ENS,100
88,0x09Aa63b7a22eEfC372196AaCd5b53441eD390BFb,ENS,USDT,30
89,0xEB5C182c42Cce1A4aE09884e022Ec99918b76267,LINK,GRT,100
90,0xB06E7Ed37CFA8F0f2888355DD1913e45412798c5,USDC,GRT,30
91,0x4d1Fb02fa84EdA35881902e8E0fdacC3a873398B,USDC,GRT,100
92,0x54368140588Da94240B93136aA1C485EB502A5cb,GRT,USDT,30
93,0x06b2AFB23ca733B5cD4Bd0De65A7dD91db6FA5e9,GRT,USDT,100
94,0x74F348329abf45EA4947a6ca467B4A4248413E8a,USDC,IMX,30
95,0xd9E87E4BB08A791dBc9dF4F7E86865eB3553e3c9,USDT,IMX,100
96,0xCFc389e23728f72558eEe13D04B326DdCdD88Be3,LINK,MATIC,100
97,0x09fE8c4ab566d6c9392cB3a04a902f4Cd4D3E1FE,QNT,LINK,30
98,0x9f178e86E42DDF2379CB3D2AcF9Ed67A1eD2550a,UNI,LINK,30
99,0xA6B9a13B34db2A00284299c47DACF49FB62C1755,UNI,LINK,100
100,0x22fe40544Ac2b387f9A68C6C53b9A8E34e4dd40E,LINK,USDC,5
101,0xFAD57d2039C21811C8F2B5D5B65308aa99D31559,LINK,USDC,30
102,0xd24B1542323096CcBf9cBA3b13c5b9eb4A92c506,LINK,USDC,100
103,0x55ec9256077A311256B2DaF81f70c0992d9fbd66,LINK,USDT,5
104,0xac5A2c404EbBa22a869998089AC7893ff4E1F0a7,LINK,USDT,30
105,0x618004783d422DfB792D07D742549D5A24648dF2,WBTC,LINK,30
106,0x5557966239e08BAcC96C38A798F53277644CA20c,PEPE,MATIC,5
107,0x4476fc21eE9a44c34Ec34dd7Ac4cfbb5a986E529,PEPE,MATIC,30
108,0xA43157555484e033cB10e5eD566Df906E9bf150E,PEPE,MATIC,100
109,0xd4C1fdc6e4c7bafef4957b819Bca1aa2Ca4994d1,QNT,MATIC,100
110,0xda434D7B379f770D32601Fa571532C0C75A528ee,UNI,MATIC,30
111,0xB8eCed0C3cae8847454aA4900d7751d0BD8d23Cf,MATIC,USDC,5
112,0x07A6E955bA4345BAe83Ac2A6fAa771fddd8A2011,MATIC,USDC,30
113,0x9da1d1c9353B32C9E15aDF11faDbe9F0860fCcfa,MATIC,USDC,100
114,0x972f43Bb94B76B9e2D036553d818879860b6A114,MATIC,USDT,5
115,0x68F73e2180024DB5B54E0E119d4F5128953F9417,MATIC,USDT,30
116,0x9039093a644c466E43C28d06c303D751cdc07Cc2,MATIC,USDT,100
117,0x936198FCac6D8cdeC3815F24BA250041F593f6c3,MKR,USDC,5
118,0x0F9d9d1cCE530C91f075455EfEf2D9386375df3d,MKR,USDC,30
119,0xC486Ad2764D55C7dc033487D634195d6e4A6917E,MKR,USDC,100
120,0x0cbE2f86E2FD90040EBb557b99F83400bF8f3717,MKR,USDT,5
121,0x5cCcaD2332292cd5882365BB3584424241AB2210,MKR,USDT,30
122,0xB5F8d230523c4Bdcd00603EE354921441FDe39b4,MKR,USDT,100
123,0x248823dF26180700e56f632dd7Fa64a4d63f9DB1,PEPE,SHIB,100
124,0x261D53F3CD0B38DAbBAB252DCc8adEAA8C67bCbA,PEPE,USDC,30
125,0xcEE31C846CbF003F4cEB5Bbd234cBA03C6e940C7,PEPE,USDC,100
126,0xa7BC6c09907fa2ded89F1c8D05374621cB1F88c5,PEPE,USDT,30
127,0x992C59D45DD67706d7AAa118Beb331C203858417,WBTC,PEPE,30
128,0x2F6a0ad19C5d30f8451831e5E7000AF24737790C,QNT,USDC,30
129,0xb66c491e2356Bf32b7E3EA14af7F60B3eD171A22,QNT,USDC,100
130,0xde77450D0887994364b62a93e14A3a76D2Db9162,QNT,USDT,100
131,0x83dd3f6D2ae0890190906822dB16AbA4720Ff701,WBTC,QNT,100
132,0x6882d07E45CB8F9EED3C6cedf4288E1Ae0021b49,RNDR,USDC,100
133,0x5CEb525693DD871d8549Dc0e7f01E122E7e1Ee10,RNDR,USDT,30
134,0xDC253C1dA38C6644b2ebF2430EC007C7E16b9dc2,SAND,USDC,30
135,0x5864DEa5f1750D1f8887F9FB7f3a50F15789514E,SAND,USDC,100
136,0xdcFB3Dec45f0CE8E35B02Ab9fcF8950aC8f90883,WBTC,SAND,30
137,0xE07C687CECB3cAF246deD3240D186181d5EAE705,UNI,SHIB,100
138,0xe9131A276FD07AF729B5537A429346e8AfFc67e0,SHIB,USDC,30
139,0xA15cc73E881c06D8DB06b50b7a3688B763C18350,SHIB,USDC,100
140,0xB0cC75ed5AaBB0aCce7cbf0302531Bb260d259C4,SHIB,USDT,30
141,0x1153C8F2B05Fdde2dB507c8D16E49d4C7405c907,WBTC,SHIB,100
142,0xe8bf7D7358a96fa870d3945Bb37BfCC91a9041cC,UNI,USDC,1
143,0xaB2044f105c43C25b1de3Ee27504f0B889CE5953,UNI,USDC,5
144,0xD0fC8bA7E267f2bc56044A7715A489d851dC6D78,UNI,USDC,30
145,0xE845469aAe04f8823202b011A848cf199420B4C1,UNI,USDC,100
146,0x36F7273afb18A3F2fDd07e3Ac1c28E65d7ea8f07,UNI,USDT,5
147,0x3470447f3CecfFAc709D3e783A307790b0208d60,UNI,USDT,30
148,0xfe47DAD3d8072a7c5E38202bC4B82D322163E2b6,UNI,USDT,100
149,0x8F0CB37cdFF37E004E0088f563E5fe39E05CCC5B,UNI,WBTC,30
150,0x83819fB5184E2a418d9309bC1Ac46eDB67F89E7d,UNI,WBTC,100
151,0xf0CEEa3400892d8e83C5D884b01E2AF9E7F0bbd7,USDD,UNI,30
152,0x3416cF6C708Da44DB2624D63ea0AAef7113527C6,USDC,USDT,1
153,0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,USDC,USDT,5
154,0xEe4Cf3b78A74aFfa38C6a926282bCd8B5952818d,USDC,USDT,30
155,0xbb256c2F1B677e27118b0345FD2b3894D2E6D487,USDC,USDT,100
156,0x026Babd2ae9379525030Fc2574e39bc156C10583,WBTC,USDC,1
157,0x9a772018FbD77fcD2d25657e5C547BAfF3Fd7D16,WBTC,USDC,5
158,0x99ac8cA7087fA4A2A1FB6357269965A2014ABc35,WBTC,USDC,30
159,0xCBFB0745b8489973Bf7b334d54fdBd573Df7eF3c,WBTC,USDC,100
160,0x1C5c60bEf00C820274d4938A5e6d04b124D4910B,USDD,USDC,1
161,0x56534741CD8B152df6d48AdF7ac51f75169A83b2,WBTC,USDT,5
162,0x9Db9e0e53058C89e5B94e29621a205198648425B,WBTC,USDT,30
163,0x5a59E4e647A3Acc42b01715F3A1D271c1f7e7aeb,WBTC,USDT,100
164,0x2bc477c7C00511eC8a2EA667dD8210AF9FF15e1D,USDD,USDT,1
